Song Name,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Mark My Words,0.383,0.256,-8.572,0.0332,0.88,2.69e-06,0.169,0.519,114.188
I'll Show You,0.361,0.608,-6.757,0.098,0.05,7.96e-05,0.183,0.0789,191.812
What Do You Mean?,0.845,0.567,-8.118,0.0956,0.59,0.00142,0.0811,0.793,125.02
Sorry,0.654,0.76,-3.669,0.045,0.0797,0,0.299,0.41,99.945
Love Yourself,0.609,0.378,-9.828,0.438,0.835,0,0.28,0.515,100.418
Company,0.59,0.797,-4.901,0.0614,0.132,0,0.0846,0.425,94.948
No Pressure,0.644,0.595,-6.877,0.215,0.121,0,0.279,0.554,148.889
No Sense,0.643,0.499,-6.795,0.0308,0.0478,0,0.108,0.363,133.978
The Feeling,0.525,0.809,-6.185,0.0619,0.0819,1.22e-06,0.0971,0.21,127.073
Life Is Worth Living,0.558,0.296,-9.18,0.0427,0.907,0,0.108,0.463,76.04
Where Are Ü Now,0.432,0.74,-5.053,0.062,0.0342,6.59e-06,0.14,0.193,139.42
Children,0.634,0.885,-4.702,0.304,0.0122,0,0.193,0.327,127.064
Purpose,0.481,0.285,-10.848,0.0424,0.9,0,0.123,0.316,130.029
Been You,0.74,0.781,-6.204,0.07,0.0223,0,0.321,0.861,113.021
Get Used To It,0.687,0.705,-8.453,0.0522,0.0339,0,0.164,0.449,110.048
We Are,0.586,0.774,-3.883,0.261,0.255,0,0.137,0.651,78.712
Trust,0.512,0.494,-8.16,0.206,0.0948,0,0.124,0.492,76.002
All In It,0.459,0.701,-7.496,0.0782,0.502,3.62e-05,0.238,0.509,97.648
What Do You Mean? - Acoustic,0.773,0.358,-10.634,0.044,0.794,0,0.104,0.756,124.934
Heartbreaker,0.555,0.518,-7.323,0.096,0.145,0,0.343,0.577,104.6
All That Matters,0.699,0.505,-5.796,0.0502,0.00541,0,0.0703,0.142,129.873
Hold Tight,0.563,0.609,-5.795,0.169,0.282,0,0.105,0.491,117.944
Recovery,0.668,0.527,-5.048,0.0813,0.014,0,0.338,0.237,130.264
Bad Day,0.675,0.509,-6.839,0.0425,0.0215,0,0.221,0.312,81.981
All Bad,0.696,0.419,-8.198,0.0256,0.018,0.0008,0.212,0.353,96.482
PYD,0.457,0.494,-6.813,0.0368,0.837,0,0.434,0.454,123.235
Roller Coaster,0.705,0.865,-4.076,0.0712,0.0136,0,0.179,0.585,97.97
Change Me,0.304,0.34,-9.018,0.0879,0.594,0,0.188,0.0777,72.15
Confident,0.741,0.565,-5.448,0.108,0.114,0,0.205,0.892,134.129
One Life,0.369,0.556,-6.54,0.121,0.289,0,0.111,0.424,157.873
Backpack,0.54,0.77,-6.253,0.146,0.154,0,0.19,0.479,72.598
What's Hatnin',0.558,0.764,-3.988,0.0823,0.0228,0,0.443,0.362,128.389
Swap It Out,0.428,0.667,-6.241,0.0544,0.0313,0,0.0781,0.22,118.65
Memphis,0.641,0.718,-6.954,0.0559,0.0122,0,0.0857,0.508,122.986
Flatline,0.341,0.666,-5.733,0.065,0.483,0,0.194,0.359,121.974
Boyfriend - Acoustic Version,0.747,0.283,-8.995,0.111,0.841,0,0.0979,0.627,89.74
As Long As You Love Me - Acoustic Version,0.552,0.311,-9.186,0.0347,0.768,0,0.089,0.464,135.497
Beauty And A Beat - Acoustic Version,0.687,0.303,-8.398,0.0321,0.751,0,0.128,0.705,127.668
She Don't Like The Lights - Acoustic Version,0.618,0.417,-8.512,0.0296,0.751,0,0.0873,0.666,123.65
Take You - Acoustic Version,0.553,0.33,-9.852,0.0347,0.79,0,0.156,0.732,125.667
Be Alright - Acoustic Version,0.453,0.25,-10.89,0.0299,0.913,1.09e-06,0.192,0.461,98.684
All Around The World - Acoustic Version,0.598,0.347,-8.637,0.0433,0.603,0,0.192,0.73,119.676
Fall - Live,0.443,0.372,-6.813,0.0384,0.827,0,0.111,0.63,151.335
Yellow Raincoat,0.786,0.379,-9.601,0.0333,0.713,0.0604,0.0936,0.735,109.944
I Would,0.706,0.645,-7.195,0.0767,0.473,0,0.22,0.614,87.998
Nothing Like Us - Bonus Track,0.425,0.156,-14.365,0.0486,0.987,5.13e-05,0.16,0.551,166.877
All Around The World,0.689,0.816,-3.951,0.178,0.019,2.42e-06,0.181,0.775,127.958
Boyfriend,0.717,0.55,-6.019,0.0521,0.0358,0.00196,0.126,0.332,96.976
As Long As You Love Me,0.571,0.873,-3.382,0.0997,0.0807,0,0.361,0.613,139.691
Catching Feelings,0.327,0.542,-6.665,0.0412,0.354,0,0.35,0.357,85.593
Take You,0.663,0.706,-6.648,0.0348,0.00107,0.00248,0.232,0.461,126.04
Right Here,0.639,0.57,-4.966,0.042,0.0233,0,0.329,0.728,92.073
Fall,0.607,0.754,-4.321,0.0411,0.259,0,0.111,0.607,82.995
Die In Your Arms,0.568,0.878,-5.094,0.0933,0.0309,4.26e-06,0.213,0.725,171.723
Thought Of You,0.697,0.705,-5.032,0.031,0.0094,6.61e-06,0.105,0.57,123.223
Beauty And A Beat,0.601,0.843,-4.87,0.0593,0.000704,5.27e-05,0.0681,0.534,128.002
One Love,0.688,0.612,-7.558,0.0324,0.00276,0,0.0942,0.228,127.916
Be Alright,0.803,0.356,-9.026,0.0326,0.587,0,0.16,0.738,106.952
Believe,0.519,0.854,-5.71,0.113,0.143,0,0.171,0.508,159.805
Out Of Town Girl,0.594,0.879,-5.586,0.0715,0.126,6.32e-06,0.151,0.799,80.994
She Don't Like The Lights,0.575,0.896,-4.6,0.103,0.00579,0.00217,0.318,0.44,123.938
Maria,0.825,0.689,-6.793,0.0413,0.01,1.37e-05,0.19,0.3,111.003
Fairytale,0.548,0.805,-9.294,0.0754,0.0271,0.601,0.11,0.814,171.95
Never Say Never,0.739,0.807,-5.063,0.0647,0.0181,0,0.295,0.633,97.048
That Should Be Me,0.547,0.607,-5.737,0.0319,0.21,0,0.169,0.23,139.951
Somebody To Love Remix,0.704,0.836,-4.619,0.0283,0.00388,0,0.16,0.553,129.989
Up,0.71,0.712,-4.339,0.0383,0.0766,0,0.105,0.552,125.977
Overboard (Live),0.357,0.884,-4.481,0.0699,0.425,0,0.791,0.384,173.973
Runaway Love - Kanye West Remix,0.742,0.742,-4.364,0.0929,0.14,0,0.0729,0.819,104.019
Born To Be Somebody,0.674,0.612,-5.237,0.0293,0.194,0,0.0493,0.31,117.93
Only Thing I Ever Get For Christmas,0.478,0.63,-8.032,0.0518,0.217,0,0.111,0.324,84.822
Mistletoe,0.658,0.56,-9.049,0.0467,0.498,0,0.0794,0.854,161.994
The Christmas Song (Chestnuts Roasting On An Open Fire),0.265,0.436,-9.542,0.0411,0.45,0,0.102,0.159,69.047
Santa Claus Is Coming To Town,0.647,0.758,-6.584,0.0599,0.0272,0,0.292,0.838,104.969
Fa La La,0.657,0.679,-8.606,0.0361,0.0207,3.15e-06,0.198,0.416,94.493
All I Want For Christmas Is You (SuperFestive!) Duet with Mariah Carey,0.576,0.911,-5.318,0.064,0.306,0,0.434,0.401,149.998
Drummer Boy,0.751,0.848,-8.32,0.0823,0.0248,0.000127,0.149,0.479,122.99
Christmas Eve,0.411,0.57,-10.54,0.0707,0.689,0,0.173,0.335,127.827
All I Want Is You,0.564,0.823,-8.651,0.0405,0.0461,0,0.109,0.482,149.005
Home This Christmas,0.539,0.628,-6.502,0.0312,0.271,0,0.112,0.493,140.024
Silent Night,0.286,0.0346,-18.395,0.0404,0.958,0,0.115,0.172,77.386
Christmas Love,0.633,0.512,-8.577,0.0294,0.518,0,0.328,0.376,99.944
Fa La La - (a cappella),0.61,0.207,-11.877,0.0319,0.847,0,0.152,0.687,94.525
Pray,0.57,0.797,-7.674,0.0599,0.124,1.13e-06,0.105,0.664,163.969
Someday At Christmas,0.523,0.465,-8.569,0.0328,0.439,0,0.22,0.263,100.668
Baby,0.73,0.848,-5.262,0.101,0.0494,0,0.133,0.559,65.025
Somebody To Love,0.719,0.839,-5.235,0.0257,0.00241,0,0.228,0.636,129.97
Stuck In The Moment,0.718,0.709,-6.354,0.0465,0.15,0,0.156,0.452,90.026
U Smile,0.705,0.605,-5.252,0.03,0.519,1.56e-06,0.117,0.419,112.506
Runaway Love,0.743,0.633,-6.111,0.0319,0.0816,0,0.0966,0.906,104.006
Never Let You Go,0.66,0.802,-4.856,0.0373,0.00205,0,0.399,0.62,103.164
Overboard,0.48,0.79,-5.214,0.0501,0.203,0,0.118,0.468,173.907
Eenie Meenie,0.718,0.605,-4.24,0.0307,0.0443,0,0.0962,0.818,121.236
One Time,0.707,0.833,-2.553,0.0359,0.0808,4.42e-05,0.0778,0.734,145.997
Favorite Girl,0.582,0.694,-4.396,0.055,0.0535,0,0.12,0.643,176.047
Down To Earth,0.536,0.727,-4.861,0.0269,0.398,0,0.434,0.205,82.032
Bigger,0.78,0.748,-2.863,0.121,0.226,0,0.352,0.884,104.075
One Less Lonely Girl,0.577,0.779,-4.404,0.221,0.151,0,0.471,0.716,86.985
First Dance,0.646,0.527,-7.356,0.0478,0.0168,0,0.204,0.287,68.501
Love Me,0.704,0.872,-3.29,0.0794,0.00879,0,0.241,0.714,124.939
Common Denominator - iTunes Bonus,0.655,0.66,-6.544,0.0274,0.227,0,0.0549,0.45,116.959
